city,key,time,inc_quart,inc_quart_legend_label,atusmd_ratio
Dallas,7,7:00,Q1,Q1 (Low),1.202334441
Dallas,8,8:00,Q1,Q1 (Low),3.589601483
Dallas,9,9:00,Q1,Q1 (Low),2.056900661
Dallas,10,10:00,Q1,Q1 (Low),1.372259846
Dallas,11,11:00,Q1,Q1 (Low),1.641227214
Dallas,12,12:00,Q1,Q1 (Low),0.828205354
Dallas,13,13:00,Q1,Q1 (Low),1.558670872
Dallas,14,14:00,Q1,Q1 (Low),0
Dallas,15,15:00,Q1,Q1 (Low),0.893097963
Dallas,16,16:00,Q1,Q1 (Low),1.564211575
Dallas,17,17:00,Q1,Q1 (Low),5.12452594
Dallas,18,18:00,Q1,Q1 (Low),5.361087126
Dallas,19,19:00,Q1,Q1 (Low),4.063977223
Dallas,20,20:00,Q1,Q1 (Low),3.638612522
Dallas,21,21:00,Q1,Q1 (Low),0
Dallas,22,22:00,Q1,Q1 (Low),0
Dallas,23,23:00,Q1,Q1 (Low),3.712840358
Dallas,0,0:00,Q2,Q2,0
Dallas,1,1:00,Q2,Q2,0
Dallas,2,2:00,Q2,Q2,0
Dallas,3,3:00,Q2,Q2,0
Dallas,4,4:00,Q2,Q2,1.258279699
Dallas,5,5:00,Q2,Q2,1.053525483
Dallas,6,6:00,Q2,Q2,0.415214566
Dallas,7,7:00,Q2,Q2,0.566480786
Dallas,8,8:00,Q2,Q2,2.515087342
Dallas,9,9:00,Q2,Q2,6.746014352
Dallas,10,10:00,Q2,Q2,1.254955183
Dallas,11,11:00,Q2,Q2,9.099824452
Dallas,12,12:00,Q2,Q2,5.785238117
Dallas,13,13:00,Q2,Q2,1.644027962
Dallas,14,14:00,Q2,Q2,0
Dallas,15,15:00,Q2,Q2,0.729334008
Dallas,16,16:00,Q2,Q2,5.112186814
Dallas,17,17:00,Q2,Q2,6.973216164
Dallas,18,18:00,Q2,Q2,4.657587844
Dallas,19,19:00,Q2,Q2,1.828729783
Dallas,20,20:00,Q2,Q2,0
Dallas,21,21:00,Q2,Q2,0
Dallas,22,22:00,Q2,Q2,0
Dallas,23,23:00,Q2,Q2,0
Dallas,0,0:00,Q3,Q3,0
Dallas,1,1:00,Q3,Q3,0
Dallas,2,2:00,Q3,Q3,0
Dallas,3,3:00,Q3,Q3,0
Dallas,4,4:00,Q3,Q3,0
Dallas,5,5:00,Q3,Q3,0.555655125
Dallas,6,6:00,Q3,Q3,2.54767796
Dallas,7,7:00,Q3,Q3,3.652509877
Dallas,8,8:00,Q3,Q3,5.468006046
Dallas,9,9:00,Q3,Q3,1.885361422
Dallas,10,10:00,Q3,Q3,1.059256887
Dallas,11,11:00,Q3,Q3,1.402399461
Dallas,12,12:00,Q3,Q3,0.203806085
Dallas,13,13:00,Q3,Q3,0
Dallas,14,14:00,Q3,Q3,0.314479807
Dallas,15,15:00,Q3,Q3,2.351782408
Dallas,16,16:00,Q3,Q3,1.770928138
Dallas,17,17:00,Q3,Q3,0.079351505
Dallas,18,18:00,Q3,Q3,6.291377503
Dallas,19,19:00,Q3,Q3,3.090412029
Dallas,20,20:00,Q3,Q3,2.510900876
Dallas,21,21:00,Q3,Q3,1.738415551
Dallas,22,22:00,Q3,Q3,0
Dallas,23,23:00,Q3,Q3,0
Dallas,0,0:00,Q4,Q4 (High),0
Dallas,1,1:00,Q4,Q4 (High),0
Dallas,2,2:00,Q4,Q4 (High),0
Dallas,3,3:00,Q4,Q4 (High),0
Dallas,4,4:00,Q4,Q4 (High),0
Dallas,5,5:00,Q4,Q4 (High),0.515529322
Dallas,6,6:00,Q4,Q4 (High),1.749256008
Dallas,7,7:00,Q4,Q4 (High),0.769724283
Dallas,8,8:00,Q4,Q4 (High),1.838432975
Dallas,9,9:00,Q4,Q4 (High),2.107771047
Dallas,10,10:00,Q4,Q4 (High),2.185757167
Dallas,11,11:00,Q4,Q4 (High),2.123598374
Dallas,12,12:00,Q4,Q4 (High),2.256160352
Dallas,13,13:00,Q4,Q4 (High),0.63477137
Dallas,14,14:00,Q4,Q4 (High),0.266437529
Dallas,15,15:00,Q4,Q4 (High),0.124237347
Dallas,16,16:00,Q4,Q4 (High),1.602582897
Dallas,17,17:00,Q4,Q4 (High),2.785458908
Dallas,18,18:00,Q4,Q4 (High),3.709560766
Dallas,19,19:00,Q4,Q4 (High),2.367282405
Dallas,20,20:00,Q4,Q4 (High),2.331499544
Dallas,21,21:00,Q4,Q4 (High),0.51191204
Dallas,22,22:00,Q4,Q4 (High),0
Dallas,23,23:00,Q4,Q4 (High),0
Detroit,0,0:00,Q1,Q1 (Low),0
Detroit,1,1:00,Q1,Q1 (Low),0
Detroit,2,2:00,Q1,Q1 (Low),0
Detroit,3,3:00,Q1,Q1 (Low),0
Detroit,4,4:00,Q1,Q1 (Low),2.834702182
Detroit,5,5:00,Q1,Q1 (Low),4.668785477
Detroit,6,6:00,Q1,Q1 (Low),1.042737941
Detroit,7,7:00,Q1,Q1 (Low),1.645256478
Detroit,8,8:00,Q1,Q1 (Low),5.15862675
Detroit,9,9:00,Q1,Q1 (Low),2.416276893
Detroit,10,10:00,Q1,Q1 (Low),1.579370605
Detroit,11,11:00,Q1,Q1 (Low),1.959709941
Detroit,12,12:00,Q1,Q1 (Low),1.011865363
Detroit,13,13:00,Q1,Q1 (Low),1.949934509
Detroit,14,14:00,Q1,Q1 (Low),0
Detroit,15,15:00,Q1,Q1 (Low),1.135591795
Detroit,16,16:00,Q1,Q1 (Low),1.780923874
Detroit,17,17:00,Q1,Q1 (Low),5.556352892
Detroit,18,18:00,Q1,Q1 (Low),5.834779972
Detroit,19,19:00,Q1,Q1 (Low),4.729649735
Detroit,20,20:00,Q1,Q1 (Low),4.38963455
Detroit,21,21:00,Q1,Q1 (Low),0
Detroit,22,22:00,Q1,Q1 (Low),0
Detroit,23,23:00,Q1,Q1 (Low),5.483891492
Detroit,0,0:00,Q2,Q2,0
Detroit,1,1:00,Q2,Q2,0
Detroit,2,2:00,Q2,Q2,0
Detroit,3,3:00,Q2,Q2,0
Detroit,4,4:00,Q2,Q2,1.962260727
Detroit,5,5:00,Q2,Q2,1.485337282
Detroit,6,6:00,Q2,Q2,0.590033709
Detroit,7,7:00,Q2,Q2,0.7682628
Detroit,8,8:00,Q2,Q2,3.521563946
Detroit,9,9:00,Q2,Q2,8.525980396
Detroit,10,10:00,Q2,Q2,1.53313641
Detroit,11,11:00,Q2,Q2,11.65496515
Detroit,12,12:00,Q2,Q2,7.859516492
Detroit,13,13:00,Q2,Q2,2.206404633
Detroit,14,14:00,Q2,Q2,0
Detroit,15,15:00,Q2,Q2,1.040603204
Detroit,16,16:00,Q2,Q2,6.969231418
Detroit,17,17:00,Q2,Q2,7.875061409
Detroit,18,18:00,Q2,Q2,4.718676938
Detroit,19,19:00,Q2,Q2,1.975134434
Detroit,20,20:00,Q2,Q2,0
Detroit,21,21:00,Q2,Q2,0
Detroit,22,22:00,Q2,Q2,0
Detroit,23,23:00,Q2,Q2,0
Detroit,0,0:00,Q3,Q3,0
Detroit,1,1:00,Q3,Q3,0
Detroit,2,2:00,Q3,Q3,0
Detroit,3,3:00,Q3,Q3,0
Detroit,4,4:00,Q3,Q3,0
Detroit,5,5:00,Q3,Q3,0.730424238
Detroit,6,6:00,Q3,Q3,3.906948381
Detroit,7,7:00,Q3,Q3,4.399442034
Detroit,8,8:00,Q3,Q3,7.521439733
Detroit,9,9:00,Q3,Q3,2.748656481
Detroit,10,10:00,Q3,Q3,1.5871501
Detroit,11,11:00,Q3,Q3,2.197274364
Detroit,12,12:00,Q3,Q3,0.350382942
Detroit,13,13:00,Q3,Q3,0
Detroit,14,14:00,Q3,Q3,0.497722461
Detroit,15,15:00,Q3,Q3,3.689536655
Detroit,16,16:00,Q3,Q3,2.537115155
Detroit,17,17:00,Q3,Q3,0.106100144
Detroit,18,18:00,Q3,Q3,7.960317151
Detroit,19,19:00,Q3,Q3,3.574611684
Detroit,20,20:00,Q3,Q3,2.80797646
Detroit,21,21:00,Q3,Q3,1.850123747
Detroit,22,22:00,Q3,Q3,0
Detroit,23,23:00,Q3,Q3,0
Detroit,0,0:00,Q4,Q4 (High),0
Detroit,1,1:00,Q4,Q4 (High),0
Detroit,2,2:00,Q4,Q4 (High),0
Detroit,3,3:00,Q4,Q4 (High),0
Detroit,4,4:00,Q4,Q4 (High),0
Detroit,5,5:00,Q4,Q4 (High),0.668997026
Detroit,6,6:00,Q4,Q4 (High),1.815685579
Detroit,7,7:00,Q4,Q4 (High),0.974665572
Detroit,8,8:00,Q4,Q4 (High),2.479798733
Detroit,9,9:00,Q4,Q4 (High),2.853472541
Detroit,10,10:00,Q4,Q4 (High),2.985897164
Detroit,11,11:00,Q4,Q4 (High),3.147110301
Detroit,12,12:00,Q4,Q4 (High),3.24136701
Detroit,13,13:00,Q4,Q4 (High),0.933122335
Detroit,14,14:00,Q4,Q4 (High),0.374248764
Detroit,15,15:00,Q4,Q4 (High),0.165988965
Detroit,16,16:00,Q4,Q4 (High),2.035348043
Detroit,17,17:00,Q4,Q4 (High),2.990357698
Detroit,18,18:00,Q4,Q4 (High),3.695173136
Detroit,19,19:00,Q4,Q4 (High),2.118378569
Detroit,20,20:00,Q4,Q4 (High),1.943174533
Detroit,21,21:00,Q4,Q4 (High),0.391249174
Detroit,22,22:00,Q4,Q4 (High),0
Detroit,23,23:00,Q4,Q4 (High),0
Los Angeles,0,0:00,Q1,Q1 (Low),0
Los Angeles,1,1:00,Q1,Q1 (Low),0
Los Angeles,2,2:00,Q1,Q1 (Low),0
Los Angeles,3,3:00,Q1,Q1 (Low),0
Los Angeles,4,4:00,Q1,Q1 (Low),3.04270878
Los Angeles,5,5:00,Q1,Q1 (Low),3.688684663
