poi_type,city,term,estimate,std.error,std.error.x2,p.value,sig_levels,significance
Grocery,New York,Segregation,-0.21160829,0.048063863,0.096127725,1.31268747274577e-05,***,Significant
Grocery,New York,# POIs per CBG,0.017862538,0.04171942,0.083438841,0.668722859,,Not Significant
Grocery,New York,# Unique visitors,-0.083403643,0.044212884,0.088425767,0.059828321,.,Not Significant
Grocery,New York,Fraction of Q1 visitors,-0.164955639,0.051530106,0.103060213,0.00145731,**,Significant
Grocery,New York,Fraction of Q4 visitors,0.198628078,0.050934913,0.101869826,0.000109712,***,Significant
Grocery,Philadelphia,Segregation,-0.179105637,0.0900136,0.180027199,0.048090269,*,Significant
Grocery,Philadelphia,# POIs per CBG,-0.155615194,0.074796173,0.149592346,0.038855165,*,Significant
Grocery,Philadelphia,# Unique visitors,0.003015078,0.075597601,0.151195203,0.968229211,,Not Significant
Grocery,Philadelphia,Fraction of Q1 visitors,-0.061709867,0.111498253,0.222996507,0.580616456,,Not Significant
Grocery,Philadelphia,Fraction of Q4 visitors,0.006875893,0.096048889,0.192097779,0.943007578,,Not Significant
Grocery,San Francisco,Segregation,-0.424879332,0.065645218,0.131290436,5.71760574467031e-10,***,Significant
Grocery,San Francisco,# POIs per CBG,0.073836194,0.06166185,0.1233237,0.232363487,,Not Significant
Grocery,San Francisco,# Unique visitors,-0.037038722,0.061413521,0.122827043,0.54703138,,Not Significant
Grocery,San Francisco,Fraction of Q1 visitors,0.161561207,0.076490349,0.152980697,0.035745137,*,Significant
Grocery,San Francisco,Fraction of Q4 visitors,0.1989989,0.073893474,0.147786949,0.007599093,**,Significant
Grocery,Seattle,Segregation,-0.2020311,0.082958926,0.165917851,0.016118527,*,Significant
Grocery,Seattle,# POIs per CBG,0.064989904,0.080359013,0.160718027,0.420015102,,Not Significant
Grocery,Seattle,# Unique visitors,0.02275455,0.083480103,0.166960206,0.785576262,,Not Significant
